,code,decileMarch20,decileMarch24,scoreMarch20,scoreMarch24,score_change,score_change_code
10267,E01013659,3,3,21.1034714,20.00213418,-5.218749089,4
4882,E01002490,1,1,16.9497947,16.06528738,-5.218395449,4
8555,E01006289,2,2,19.9394777,18.89896758,-5.218341901,4
28169,E01019413,8,8,35.4555811,33.60581381,-5.217139959,4
22038,E01000332,6,6,29.2681387,27.74124174,-5.216925394,4
32538,E01016970,9,9,45.7298357,43.3454452,-5.214080629,4
18526,E01007247,5,5,26.6764365,25.28599373,-5.2122508,4
16598,E01001141,4,4,25.355955,24.03449074,-5.211652484,4
17295,E01018072,5,5,25.8140698,24.46874632,-5.211589984,4
17224,E01029718,5,5,25.7740153,24.43085304,-5.211303901,4
13523,E01015357,4,4,23.2803341,22.06726011,-5.210724125,4
17803,E01007244,5,5,26.1776317,24.81364703,-5.210496814,4
7516,E01011644,2,2,19.1768831,18.17781855,-5.209733754,4
6198,E01001337,1,1,18.1382284,17.19344149,-5.208815809,4
24536,E01022686,7,7,31.4614801,29.82310083,-5.207572134,4
23434,E01000946,6,6,30.4179631,28.8342561,-5.206486022,4
10901,E01007636,3,3,21.5107835,20.39084154,-5.206421046,4
29706,E01027804,8,8,37.8028447,35.83480653,-5.206058384,4
28632,E01025703,8,8,36.0701845,34.19240106,-5.205915816,4
19662,E01026136,5,5,27.5045388,26.07325729,-5.20380117,4
5968,E01029878,1,1,17.9395039,17.00616352,-5.202710078,4
8003,E01031050,2,2,19.5350269,18.51881574,-5.201995174,4
13912,E01017861,4,4,23.5431857,22.31852996,-5.20174182,4
7386,E01009051,2,2,19.082428,18.08999709,-5.200758058,4
10664,E01017488,3,3,21.3696861,20.25869181,-5.198926564,4
20151,E01018613,5,5,27.8511351,26.40319042,-5.198871327,4
19628,E01019616,5,5,27.4870692,26.05817235,-5.198432892,4
27914,E01033515,8,8,35.0927787,33.26854284,-5.198322638,4
18853,E01025306,5,5,26.9001869,25.50291387,-5.194287448,4
21543,E01005900,6,6,28.9039918,27.40276033,-5.19385515,4
9270,E01035541,2,2,20.4323707,19.37132782,-5.192950443,4
11744,E01021550,3,3,22.0886024,20.94176855,-5.19197108,4
20734,E01032078,6,6,28.2715793,26.80399633,-5.191018705,4
29754,E01022134,8,8,37.8901124,35.92444422,-5.187813007,4
5030,E01001977,1,1,17.0829239,16.19677771,-5.187321561,4
22502,E01031457,6,6,29.625048,28.08857368,-5.186402808,4
21691,E01004906,6,6,29.0167483,27.51186673,-5.186251582,4
10023,E01009307,2,3,20.9381986,19.85255365,-5.18499689,4
2405,E01017562,0,0,14.1293251,13.39678526,-5.184535217,4
24009,E01004646,7,6,30.9504244,29.34588809,-5.184214249,4
33259,E01031222,9,9,51.254774,48.59827841,-5.182923225,4
29861,E01031999,8,8,38.0719055,36.09906934,-5.181868702,4
6322,E01024658,1,2,18.2377295,17.29276066,-5.181395172,4
14945,E01005723,4,4,24.2401513,22.98421276,-5.181232276,4
26738,E01020642,7,7,33.7007488,31.95466796,-5.181133665,4
8342,E01009807,2,2,19.7817678,18.75696234,-5.180555486,4
7103,E01009358,2,2,18.8762724,17.89840616,-5.180399094,4
2265,E01013909,0,0,13.9102856,13.18972428,-5.180061292,4
25220,E01034047,7,7,32.1224671,30.45876366,-5.179251767,4
14998,E01017904,4,4,24.2776721,23.02072667,-5.177372143,4
8656,E01010303,2,2,20.0147139,18.9786297,-5.176612583,4
27126,E01007287,8,7,34.1207143,32.35566822,-5.172945878,4
31940,E01031854,9,9,43.2435718,41.00666381,-5.172810428,4
14323,E01005933,4,4,23.812716,22.58093399,-5.172790919,4
6982,E01019545,2,2,18.7811735,17.80974975,-5.172327248,4
13778,E01017310,4,4,23.4536305,22.24094188,-5.170579552,4
9067,E01000464,2,2,20.2993213,19.24977365,-5.170358328,4
16910,E01005648,5,4,25.5415953,24.22108241,-5.170048604,4
26771,E01004469,7,7,33.7467977,32.00207649,-5.170034864,4
21521,E01022109,6,6,28.8877817,27.39477185,-5.168309095,4
10032,E01008544,2,3,20.9441561,19.86170526,-5.168271466,4
25832,E01005636,7,7,32.6975032,31.00769261,-5.168011086,4
5353,E01027735,1,1,17.3946537,16.4958876,-5.166909978,4
28866,E01031839,8,8,36.4253997,34.54395774,-5.165192363,4
18919,E01020631,5,5,26.9454303,25.55367674,-5.165081975,4
